Id,Truth,Score1,Score5,Predicted1,Predicted2,Predicted3,Predicted4,Predicted5
23856,239,1,1,239,826,712,360,367
44592,262,1,1,262,882,287,257,280
46055,685,0,1,990,690,685,677,897
10635,922,0,0,259,248,680,723,989
44068,672,0,1,331,329,672,813,771
12608,204,0,0,170,176,45,17,184
39558,938,0,0,349,804,336,353,594
41790,542,1,1,542,251,571,952,531
27546,645,1,1,645,644,642,646,224
40882,697,0,1,898,780,724,697,922
11927,473,0,0,618,657,998,454,331
20283,235,1,1,235,693,897,942,596
35982,440,1,1,440,420,418,441,437
4226,420,1,1,420,418,440,404,421
31168,635,0,0,633,612,637,606,605
34690,207,0,1,18,132,207,180,134
18205,206,0,1,85,206,30,153,491
33155,128,0,0,171,191,5,116,19
28719,728,0,0,361,362,367,363,476
3449,62,1,1,62,136,1,67,28
37815,314,1,1,314,756,1000,338,339
35828,22,1,1,22,6,442,826,241
1474,780,1,1,780,689,839,917,933
36707,964,0,1,921,879,909,750,964
15067,350,0,0,968,992,220,985,538
43607,769,0,0,770,998,759,559,855
40928,296,0,1,852,299,297,790,296
22314,169,0,1,786,169,106,151,877
9044,860,1,1,860,220,954,503,970
20329,687,0,0,998,899,815,855,770
42915,451,0,0,370,634,928,521,981
27116,321,1,1,321,325,703,792,327
10265,657,1,1,657,648,332,630,365
46405,738,1,1,738,325,813,737,736
39108,861,0,1,523,764,520,870,861
12258,23,1,1,23,74,78,218,48
44438,52,0,0,139,81,126,26,186
31538,754,0,0,974,953,734,662,793
5964,264,0,1,250,264,249,263,262
7959,504,0,1,862,925,504,509,536
33505,78,0,1,58,78,205,91,145
18655,276,0,0,260,272,278,563,273
19947,239,1,1,239,826,275,237,242
4676,967,0,1,951,872,799,967,547
15088,828,1,1,828,815,97,871,998
10770,690,0,1,677,690,685,686,990
46110,243,1,1,243,238,834,715,245
11862,598,1,1,598,902,800,688,938
27403,806,0,0,974,734,873,768,900
4363,297,0,0,572,587,603,626,470
33010,74,0,0,83,2,153,166,122
18340,926,1,1,926,790,781,866,380
36212,615,1,1,615,602,614,224,495
4699,877,0,0,717,637,504,330,654
1161,225,1,1,225,616,878,620,613
22601,872,0,0,670,505,944,726,676
9551,78,1,1,78,147,216,28,34
23913,41,1,1,41,17,588,134,25
15572,982,1,1,982,365,649,366,648
43312,499,1,1,499,467,464,780,472
20796,982,0,1,507,982,365,444,649
27053,208,1,1,208,158,26,31,77
41285,436,0,1,431,436,389,396,420
21884,717,1,1,717,165,162,473,250
46540,241,1,1,241,242,251,240,239
10320,770,0,0,308,855,790,847,939
18710,171,0,0,149,15,3,197,210
33440,649,0,0,886,734,365,738,864
5821,603,0,1,654,497,611,603,477
34385,775,0,1,750,775,815,828,801
4733,187,1,1,187,84,136,126,204
19802,273,0,0,364,816,367,954,429
1531,617,1,1,617,619,616,618,613
37950,581,0,0,646,754,738,956,620
36642,337,0,1,601,337,926,939,335
31187,670,1,1,670,875,838,664,752
44087,727,1,1,727,687,669,927,828
43742,48,0,1,182,48,199,95,216
15122,120,1,1,120,167,194,81,464
25594,698,0,0,542,220,251,521,340
42850,40,0,1,23,40,137,48,147
9101,516,0,0,559,567,259,597,508
22251,262,1,1,262,257,287,882,256
14699,723,1,1,723,722,720,259,683
47701,592,0,0,986,979,338,786,888
11161,645,1,1,645,644,942,642,646
26212,328,0,1,625,622,328,326,610
46813,974,0,0,672,671,662,734,741
33913,360,1,1,360,359,720,724,713
5572,835,1,1,835,879,750,888,842
19551,963,1,1,963,228,801,557,531
32601,508,0,0,891,850,307,664,1000
1862,181,0,1,90,139,181,126,200
37403,881,0,1,817,866,881,833,794
5088,886,1,1,886,745,744,812,332
770,571,1,1,571,984,886,997,652
8340,976,1,1,976,8,311,297,143
23010,288,1,1,288,68,367,719,248
42503,265,1,1,265,285,273,267,274
14363,201,1,1,201,11,216,74,67
26642,214,0,0,683,717,682,816,220
21187,663,1,1,663,953,634,806,614
11531,493,1,1,493,491,492,479,768
47351,576,1,1,576,778,535,973,580
27950,477,1,1,477,478,496,495,479
40494,901,1,1,901,864,997,779,841
35594,877,0,0,229,328,658,871,815
32251,992,1,1,992,705,378,796,223
19101,383,0,1,384,383,421,399,403
5122,615,0,0,619,634,495,496,574
31884,11,1,1,11,8,174,58,201
320,229,0,0,885,331,974,754,704
30796,937,0,0,468,911,797,790,770
37053,641,0,1,644,646,642,641,624
14733,341,1,1,341,355,971,347,222
42153,6,0,1,364,366,6,446,719
9802,599,1,1,599,546,559,850,531
45696,657,0,1,365,225,656,657,648
23440,5,0,0,151,186,106,49,384
44984,861,1,1,861,338,575,781,593
8710,659,1,1,659,964,819,766,939
15821,155,0,1,102,155,159,11,81
24385,33,0,0,972,305,762,753,801
21353,286,1,1,286,920,269,882,257
26496,122,1,1,122,185,96,104,73
41952,331,0,1,329,331,336,619,955
40640,204,1,1,204,161,50,150,132
16020,845,0,0,770,977,782,759,855
38488,391,1,1,391,386,412,389,396
47185,166,1,1,166,111,75,412,38
32085,313,1,1,313,550,510,305,944
28871,327,1,1,327,768,873,974,585
48270,576,1,1,576,673,662,535,335
35740,831,0,1,798,831,777,772,883
34852,819,0,1,983,674,819,580,380
29763,494,1,1,494,614,501,497,463
2433,165,1,1,165,167,162,78,120
49898,494,1,1,494,497,495,611,496
7631,78,0,1,147,78,120,11,218
29299,275,1,1,275,374,276,260,277
6923,335,0,0,782,505,926,910,759
37287,742,0,1,874,742,740,324,320
30542,304,0,0,773,748,943,910,375
38172,596,1,1,596,681,685,244,933
22986,910,0,0,866,709,883,831,662
45442,636,1,1,636,634,632,631,629
13222,820,0,1,222,820,826,535,258
42387,562,0,0,938,998,964,909,845
24151,338,0,0,546,531,777,921,799
23694,963,0,0,966,943,759,709,801
16470,492,0,0,969,582,797,836,748
40210,176,0,0,161,32,94,19,177
13388,611,0,1,634,610,611,619,614
20811,135,0,0,104,185,73,111,37
21703,10,1,1,10,148,118,174,201
49932,838,1,1,838,673,662,258,672
2063,102,1,1,102,205,179,155,159
29333,154,0,1,110,154,64,86,115
18897,833,1,1,833,949,865,845,941
19785,787,0,1,753,219,949,787,541
6889,856,0,0,923,353,994,380,585
35310,618,1,1,618,619,620,611,609
48620,228,0,1,552,228,944,869,510
30112,255,1,1,255,461,382,464,306
7261,49,0,1,191,49,106,151,27
2599,292,0,1,291,292,258,277,374
24501,38,0,1,111,38,641,92,166
8194,82,0,0,531,173,839,565,750
12960,211,0,0,50,202,149,128,184
13672,462,1,1,462,460,461,653,779
45012,528,0,0,532,522,518,521,573
38522,432,1,1,432,473,429,405,447
16923,326,0,0,953,332,974,820,983
27287,985,0,1,785,936,985,782,977
20542,724,1,1,724,722,717,812,330
47886,378,0,0,227,802,856,709,880
46794,905,0,0,996,991,846,867,674
17631,310,0,1,721,310,679,726,723
41051,394,0,0,628,415,392,389,397
39299,405,1,1,405,432,459,447,621
34151,873,0,0,813,736,737,738,921
49461,649,1,1,649,217,365,483,446
33694,902,0,0,928,874,975,750,879
32986,625,1,1,625,634,628,622,637
3222,927,1,1,927,752,905,664,527
28172,717,0,0,545,681,596,248,780
6020,881,0,1,925,881,868,899,805
28488,576,1,1,576,955,374,382,599
31353,789,1,1,789,669,556,749,667
36496,891,1,1,891,531,509,586,512
24852,864,0,0,874,823,675,819,888
43596,741,1,1,741,742,322,671,740
12433,482,0,0,485,481,656,975,478
44253,230,1,1,230,232,503,252,231
39763,773,0,1,505,971,773,532,375
38871,982,1,1,982,365,944,690,861
22085,55,0,1,174,8,976,156,55
25740,381,1,1,381,717,723,780,218
41401,647,0,1,445,647,446,460,656
17261,164,0,1,29,141,94,179,164
12599,742,1,1,742,319,735,740,739
20112,962,1,1,962,257,287,262,264
28522,411,1,1,411,409,776,815,741
3672,416,1,1,416,390,393,413,415
49031,835,0,0,547,762,879,581,818
34501,869,0,1,944,696,523,869,510
2960,448,0,0,458,193,446,443,456
18194,975,0,0,587,651,827,698,902
31703,457,1,1,457,448,456,490,451
6470,685,1,1,685,287,712,882,695
3388,185,1,1,185,37,135,175,111
30811,617,0,1,613,617,694,616,676
45911,430,1,1,430,436,402,435,404
9785,326,1,1,326,735,229,514,743
16889,522,1,1,522,524,528,532,521
25310,652,0,1,654,652,741,327,739
39333,552,0,0,556,228,534,869,313
8897,304,1,1,304,814,851,828,593
44603,639,1,1,639,224,610,605,640
12063,539,0,1,381,539,258,603,369
4158,935,0,0,794,825,817,848,896
6165,604,0,1,606,604,605,625,636
31216,887,1,1,887,252,702,287,257
39626,666,1,1,666,902,570,959,580
44316,298,1,1,298,297,718,976,296
12576,855,1,1,855,794,836,969,797
24917,885,1,1,885,900,993,813,948
25605,547,0,1,921,668,547,302,803
9290,776,0,0,204,856,756,382,448
38934,275,1,1,275,291,799,336,539
27638,592,0,0,784,711,289,263,804
20407,580,0,0,888,966,889,820,766
16866,611,0,0,654,585,947,485,477
41114,385,0,1,186,385,147,78,151
17774,927,0,0,824,951,829,881,820
8878,166,0,1,163,209,218,166,104
43129,840,0,1,950,840,310,297,248
15749,617,1,1,617,616,619,613,754
18481,499,1,1,499,451,501,458,460
36029,799,0,1,899,799,338,509,804
49524,981,1,1,981,746,664,432,412
34014,624,0,0,632,631,604,606,602
28037,223,0,1,769,223,840,762,677
3367,330,0,1,683,330,752,687,963
36183,581,1,1,581,939,928,519,997
31646,131,0,1,152,131,145,123,33
30954,912,0,0,172,179,426,199,681
4508,165,0,1,120,165,162,78,24
6535,84,1,1,84,50,155,197,89
32969,568,0,1,673,568,831,559,594
25255,955,0,0,811,356,568,617,975
47869,354,1,1,354,356,827,531,902
22590,47,1,1,47,36,117,107,151
45854,48,1,1,48,182,23,40,74
27268,156,1,1,156,123,47,26,36
12126,791,1,1,791,543,575,552,526
44746,878,1,1,878,812,886,746,893
39276,296,1,1,296,966,976,888,750
43083,917,1,1,917,752,259,556,669
26880,190,1,1,190,61,168,124,206
17324,834,1,1,834,235,245,715,238
41544,536,0,0,817,968,914,356,971
46281,256,1,1,256,716,917,898,548
15319,615,0,0,619,603,618,614,609
43579,568,1,1,568,725,766,712,690
20057,977,0,1,782,380,590,977,985
27792,909,0,0,941,888,889,879,967
3737,776,0,0,821,972,815,909,888
28467,286,1,1,286,282,265,281,280
2825,391,1,1,391,412,654,629,386
33381,841,0,1,748,841,348,505,774
36479,444,0,0,26,652,458,786,119
34444,547,1,1,547,1000,524,509,756
49174,889,1,1,889,877,222,792,964
818,615,0,0,618,619,499,617,620
7774,738,1,1,738,649,864,331,329
18878,779,1,1,779,581,563,580,529
5749,736,1,1,736,743,321,740,325
30407,170,1,1,170,140,17,130,176
6866,148,1,1,148,63,110,118,159
13367,388,1,1,388,415,387,386,424
45507,101,0,1,164,157,101,384,389
38037,185,0,0,186,151,83,165,122
8481,398,1,1,398,454,399,404,401
26029,266,1,1,266,271,270,281,268
24014,624,1,1,624,633,635,224,644
41817,941,0,0,595,909,810,968,966
21216,767,1,1,767,994,923,924,292
14158,436,1,1,436,435,434,433,437
42738,956,1,1,956,886,812,746,981
16165,227,0,1,547,334,718,298,227
40705,807,1,1,807,913,746,893,455
35605,424,1,1,424,384,407,403,406
48335,382,1,1,382,278,255,922,361
19290,743,1,1,743,739,637,501,500
28934,712,0,0,713,359,683,306,765
37638,75,0,1,166,38,75,111,213
2576,91,1,1,91,145,210,4,88
29626,666,0,0,846,540,906,538,804
34917,894,0,0,835,921,749,879,840
30057,377,0,1,335,377,867,376,934
37792,807,0,1,784,807,954,800,756
36880,634,0,0,615,467,640,627,461
7324,672,0,1,900,993,830,613,672
5319,569,1,1,569,598,538,341,291
12825,628,1,1,628,610,624,625,224
23381,636,1,1,636,637,631,629,619
26479,566,0,1,873,566,864,704,331
24444,342,1,1,342,343,344,227,541
43980,783,0,0,530,575,341,511,676
10818,835,1,1,835,928,939,891,580
42692,32,0,0,139,184,126,181,189
38467,602,0,1,611,638,602,600,224
45157,465,0,1,471,465,472,480,467
13737,571,0,0,149,15,147,143,63
20954,703,1,1,703,324,322,688,323
47490,233,0,0,223,712,342,343,804
42368,594,1,1,594,796,546,591,899
14508,205,1,1,205,67,58,28,102
40355,219,1,1,219,987,978,666,556
16535,805,0,1,888,855,986,805,941
22969,648,1,1,648,453,425,454,226
26183,664,0,0,768,830,337,741,740
21646,468,1,1,468,467,464,471,465
29276,245,1,1,245,221,715,596,248
2126,430,1,1,430,67,213,1,428
49877,739,0,1,836,739,324,480,465
48765,286,1,1,286,290,265,284,920
35255,815,0,1,775,815,582,338,581
32590,564,1,1,564,239,820,289,366
37268,476,0,1,989,23,476,464,475
20684,11,1,1,11,190,137,8,76
27141,317,1,1,317,726,753,668,669
41397,938,0,1,598,964,938,594,121
46452,214,0,1,194,24,214,162,474
10232,514,0,1,508,514,987,512,863
21996,797,0,0,899,805,804,796,589
18602,420,0,0,384,403,402,406,436
33552,484,0,0,472,471,175,489,635
34297,106,0,0,119,8,151,49,21
5933,772,0,1,983,675,819,674,772
4621,240,1,1,240,221,242,241,545
19910,540,0,1,866,847,540,957,506
1423,521,0,1,627,521,659,337,820
37842,2,0,1,141,105,172,2,77
36750,920,0,1,882,269,266,920,257
31095,169,1,1,169,203,185,786,16
44195,190,1,1,190,61,168,165,120
43650,366,1,1,366,701,264,685,367
15030,205,1,1,205,28,67,124,58
42942,881,0,0,341,541,345,343,346
25486,538,0,1,809,538,758,632,618
9013,828,1,1,828,580,939,581,868
22343,904,0,1,718,339,904,861,698
10662,867,1,1,867,808,901,952,810
46002,123,0,0,856,851,380,673,36
11970,536,0,0,534,965,508,857,660
27511,159,0,1,71,172,179,2,159
1589,831,0,0,917,933,752,690,897
4271,605,0,1,604,606,605,755,607
33102,876,1,1,876,800,569,902,784
18252,65,1,1,65,57,9,12,52
36300,714,1,1,714,670,752,674,927
5899,724,1,1,724,780,763,698,547
1073,432,1,1,432,406,414,401,403
22713,123,0,1,27,127,56,70,123
9443,753,1,1,753,567,515,583,522
23801,118,1,1,118,168,136,148,190
10398,21,1,1,21,385,77,186,34
15460,717,0,0,533,866,111,538,142
43200,674,0,0,512,509,349,335,892
26750,81,1,1,81,147,52,78,119
21095,814,0,0,885,611,370,707,638
11423,139,0,1,147,139,167,82,130
47243,483,0,0,499,458,455,462,451
40586,655,1,1,655,650,730,494,656
27842,1,1,1,1,62,155,28,58
35486,241,0,1,715,235,596,241,243
32343,610,0,0,605,609,602,615,501
19013,154,0,0,96,92,175,81,111
5030,441,1,1,441,22,14,103,442
232,800,0,0,250,288,733,269,248
31996,915,1,1,915,378,591,735,960
30684,607,0,0,224,822,514,783,763
37141,294,1,1,294,254,293,277,291
14621,317,1,1,317,301,300,305,302
42041,730,1,1,730,324,649,514,319
9910,655,1,1,655,648,650,658,656
45784,425,1,1,425,424,429,422,414
44896,442,1,1,442,443,193,446,444
23552,422,1,1,422,423,441,424,420
8602,279,1,1,279,287,282,283,920
24297,549,0,0,531,835,901,727,597
15933,440,1,1,440,480,451,500,635
47613,800,1,1,800,526,763,917,990
11073,468,1,1,468,730,641,472,614
26300,863,1,1,863,571,725,223,929
15899,421,1,1,421,475,419,476,430
46901,530,0,0,633,147,852,296,889
33801,452,1,1,452,654,453,451,650
398,199,0,0,186,71,160,422,72
5460,277,0,1,255,277,555,381,289
19443,907,1,1,907,519,997,842,934
32713,511,0,1,550,510,511,313,869
1970,788,1,1,788,831,777,883,709
37511,734,0,0,799,336,297,751,344
662,227,1,1,227,898,334,762,688
8252,676,0,0,768,874,859,864,830
23102,919,0,0,679,289,694,752,722
11589,644,1,1,644,645,642,646,357
42411,921,1,1,921,967,810,803,553
14271,632,0,0,635,602,625,606,638
377,559,0,0,293,336,866,223,340
37004,30,0,1,85,30,206,153,730
35039,604,1,1,604,606,605,607,621
48509,474,1,1,474,473,24,162,214
40139,157,1,1,157,737,101,40,48
16759,27,0,0,2,87,119,151,5
9855,667,0,1,355,667,884,709,666
42104,267,1,1,267,271,285,264,266
14764,791,0,1,848,791,559,591,759
15876,83,1,1,83,126,136,70,7
8747,653,0,0,654,323,893,885,655
23417,243,1,1,243,244,235,238,715
24628,257,0,1,882,287,257,920,266
39919,752,0,1,340,820,752,770,673
26615,939,0,1,779,939,781,675,928
27907,379,0,0,558,752,727,706,834
47306,953,0,0,993,754,768,873,613
11566,699,0,0,679,526,539,690,917
19156,310,0,0,840,749,762,883,766
32206,169,0,0,155,216,197,202,7
5175,86,1,1,86,101,114,5,161
7148,590,1,1,590,361,288,253,692
3808,179,1,1,179,172,151,168,106
37454,390,1,1,390,405,413,415,393
48159,324,1,1,324,986,688,805,649
35469,331,0,1,734,331,329,864,740
30391,411,1,1,411,438,409,390,328
1835,627,1,1,627,134,623,588,25
727,318,0,1,321,318,704,754,743
24782,335,0,0,337,508,542,251,263
23047,262,1,1,262,257,263,287,256
8317,39,1,1,39,200,181,65,90
16309,334,1,1,334,227,663,333,731
40569,346,0,0,459,780,466,345,842
45291,149,0,0,186,141,63,172,103
14334,711,0,1,958,704,711,788,709
42554,594,1,1,594,804,591,799,341
25890,382,1,1,382,584,373,583,531
40093,676,0,0,340,794,353,354,880
11136,869,0,1,944,561,980,869,552
47756,789,1,1,789,556,668,510,667
24278,522,0,1,518,532,521,522,526
46844,533,0,0,336,856,957,354,505
21580,658,1,1,658,225,449,450,913
44879,288,1,1,288,252,278,361,253
26245,128,1,1,128,124,86,5,158
